feature_n,variable,value
40.0,rf,0.8969168312486283
40.0,rf,0.8923126216855993
40.0,rf,0.8783259247647732
40.0,rf,0.9300150426207588
40.0,rf,0.8648167955154357
40.0,rf,0.8969168312486283
40.0,rf,0.8831509538463554
40.0,rf,0.9002055523650777
40.0,rf,0.8936855894858012
40.0,rf,0.8678983147229115
40.0,rf,0.86343725797446
40.0,rf,0.8820535735604621
40.0,rf,0.8811796699174793
40.0,rf,0.8606516044990405
40.0,rf,0.9062177591306143
40.0,rf,0.919601711652403
40.0,rf,0.8678826260692291
40.0,rf,0.8792523233440576
40.0,rf,0.9056601713880246
40.0,rf,0.911158357771261
40.0,rf,0.8883003170498011
40.0,rf,0.8536617030057088
40.0,rf,0.905592410661535
40.0,rf,0.8593548387096774
40.0,rf,0.890424831139208
20.0,rf,0.8145888512944562
20.0,rf,0.8856793344064658
20.0,rf,0.8885931386723989
20.0,rf,0.8985311323259038
20.0,rf,0.8511276563584005
20.0,rf,0.9207829595589851
20.0,rf,0.910549853372434
20.0,rf,0.895572745227123
20.0,rf,0.8882728494623654
20.0,rf,0.9113722735541506
20.0,rf,0.8806514324336565
20.0,rf,0.8513657614559201
20.0,rf,0.9117790811339197
20.0,rf,0.8821236559139785
20.0,rf,0.8812061114768488
20.0,rf,0.8907771997819007
20.0,rf,0.8776474421635712
20.0,rf,0.8748426212274933
20.0,rf,0.861491935483871
20.0,rf,0.8593548387096774
20.0,rf,0.8757721345229925
20.0,rf,0.89027869212201
20.0,rf,0.9300150426207588
20.0,rf,0.901586160788902
20.0,rf,0.881975321145828
20.0,rf,0.8885931386723989
20.0,rf,0.884419691006121
20.0,rf,0.888256793262355
20.0,rf,0.8642873484328529
20.0,rf,0.9260152649769585
20.0,rf,0.9056601713880246
20.0,rf,0.8959758879113718
20.0,rf,0.8696987679755759
20.0,rf,0.9040514592933947
20.0,rf,0.8849720843672456
20.0,rf,0.8933508887425937
20.0,rf,0.8952666558599449
20.0,rf,0.8832355816226785
20.0,rf,0.8812061114768488
20.0,rf,0.8941668059501922
20.0,rf,0.8712991480700997
20.0,rf,0.8705348487380913
20.0,rf,0.8663813912661839
20.0,rf,0.8511559139784945
20.0,rf,0.8822580645161291
20.0,rf,0.8864736070381231
20.0,rf,0.8734776168531929
20.0,rf,0.9102515365619962
20.0,rf,0.8873874504487246
20.0,rf,0.8858885297017217
20.0,rf,0.8885443631131349
20.0,rf,0.8936860275889341
20.0,rf,0.8983432082510423
20.0,rf,0.9122719307108339
20.0,rf,0.8666223345466333
20.0,rf,0.8623973607038123
20.0,rf,0.8769489247311829
20.0,rf,0.8977419354838709
20.0,rf,0.9122719307108339
20.0,rf,0.8986390898775403
20.0,rf,0.8588465298142718
20.0,rf,0.9002948468337233
20.0,rf,0.8744045509022468
20.0,rf,0.8797191255534471
20.0,rf,0.8834631702143222
20.0,rf,0.8767176445204442
20.0,rf,0.919843597262952
20.0,rf,0.8925085667021151
20.0,rf,0.8947367438874643
20.0,rf,0.8879113717823396
20.0,rf,0.8696987679755759
20.0,rf,0.9113722735541506
20.0,rf,0.8800097751710655
20.0,rf,0.8964860693518772
20.0,rf,0.8849720843672456
20.0,rf,0.8916816767643686
20.0,rf,0.8934367869762329
20.0,rf,0.8704783217801065
20.0,rf,0.8787220493786729
20.0,rf,0.9126275510204082
20.0,rf,0.861491935483871
20.0,rf,0.9303543998244459
20.0,rf,0.895249340544364
20.0,rf,0.8687942924817499
20.0,rf,0.8748426212274933
20.0,rf,0.9048990563967523
20.0,rf,0.8908258979638527
20.0,rf,0.8729853038952702
20.0,rf,0.8823461147379124
20.0,rf,0.8949046920821114
20.0,rf,0.8993635562197468
20.0,rf,0.8978753101736973
20.0,rf,0.914141433812933
20.0,rf,0.8802034387483942
20.0,rf,0.8983870967741936
20.0,rf,0.919616001152717
20.0,rf,0.872709726194914
20.0,rf,0.8663813912661839
20.0,rf,0.8942961876832846
20.0,rf,0.8748387096774194
10.0,rf,0.8885443631131349
10.0,rf,0.850335071994058
10.0,rf,0.8912572550330512
10.0,rf,0.8667741935483871
10.0,rf,0.8918260108013428
10.0,rf,0.8782093482554312
10.0,rf,0.8769306197749727
10.0,rf,0.8829631422865097
10.0,rf,0.9025204062209583
10.0,rf,0.9143076585472899
10.0,rf,0.9308114671875825
10.0,rf,0.9066374335125994
10.0,rf,0.9151840990550667
10.0,rf,0.8880739795918366
10.0,rf,0.8846999605458095
10.0,rf,0.919843597262952
10.0,rf,0.8805498172572699
10.0,rf,0.8777368492159996
10.0,rf,0.895249340544364
10.0,rf,0.896643196332078
10.0,rf,0.9445747800586509
10.0,rf,0.8949046920821114
10.0,rf,0.9129210694633456
10.0,rf,0.8823461147379124
10.0,rf,0.9074193548387097
10.0,rf,0.8997831456407969
10.0,rf,0.8874047657643054
10.0,rf,0.8629598189020941
10.0,rf,0.8866637556174153
10.0,rf,0.8907771997819007
10.0,rf,0.8923126216855993
10.0,rf,0.8770521776172686
10.0,rf,0.9048990563967523
10.0,rf,0.9455892034233048
10.0,rf,0.8993809058325187
10.0,rf,0.8814598420013166
10.0,rf,0.8696987679755759
10.0,rf,0.8821236559139785
10.0,rf,0.920609776168532
10.0,rf,0.9035103834585111
10.0,rf,0.9147651479154568
10.0,rf,0.8903225806451613
10.0,rf,0.9062565641410353
10.0,rf,0.8932248259633297
10.0,rf,0.9138709677419354
10.0,rf,0.9321608040201005
